campaign,brand,format,headline,supporting_copy,cta,destination,utm_campaign,source,export
humanati,HUMANATI,feed-1080x1080,Decisões melhores começam com dados conectados.,"Unifique pessoas, operações e estratégia em uma visão confiável.",SOLICITE UM DIAGNÓSTICO,https://humanati.com.br/,humanati-always-on,marketing/campaigns/humanati/source/humanati-feed-1080x1080.svg,marketing/campaigns/humanati/exports/humanati-feed-1080x1080.png
humanati,HUMANATI,story-1080x1920,Decisões melhores começam com dados conectados.,"Unifique pessoas, operações e estratégia em uma visão confiável.",SOLICITE UM DIAGNÓSTICO,https://humanati.com.br/,humanati-always-on,marketing/campaigns/humanati/source/humanati-story-1080x1920.svg,marketing/campaigns/humanati/exports/humanati-story-1080x1920.png
humanati,HUMANATI,linkedin-1200x627,Decisões melhores começam com dados conectados.,"Unifique pessoas, operações e estratégia em uma visão confiável.",SOLICITE UM DIAGNÓSTICO,https://humanati.com.br/,humanati-always-on,marketing/campaigns/humanati/source/humanati-linkedin-1200x627.svg,marketing/campaigns/humanati/exports/humanati-linkedin-1200x627.png
humanati,HUMANATI,display-1200x628,Decisões melhores começam com dados conectados.,"Unifique pessoas, operações e estratégia em uma visão confiável.",SOLICITE UM DIAGNÓSTICO,https://humanati.com.br/,humanati-always-on,marketing/campaigns/humanati/source/humanati-display-1200x628.svg,marketing/campaigns/humanati/exports/humanati-display-1200x628.png
monihook,MoniHook,feed-1080x1080,Do sinal à ação em tempo real.,"Centralize indicadores, antecipe alertas e entregue insights para uma gestão mais ágil.",CONHEÇA O MONIHOOK,https://humanati.com.br/,monihook-always-on,marketing/campaigns/monihook/source/monihook-feed-1080x1080.svg,marketing/campaigns/monihook/exports/monihook-feed-1080x1080.png
monihook,MoniHook,story-1080x1920,Do sinal à ação em tempo real.,"Centralize indicadores, antecipe alertas e entregue insights para uma gestão mais ágil.",CONHEÇA O MONIHOOK,https://humanati.com.br/,monihook-always-on,marketing/campaigns/monihook/source/monihook-story-1080x1920.svg,marketing/campaigns/monihook/exports/monihook-story-1080x1920.png
monihook,MoniHook,linkedin-1200x627,Do sinal à ação em tempo real.,"Centralize indicadores, antecipe alertas e entregue insights para uma gestão mais ágil.",CONHEÇA O MONIHOOK,https://humanati.com.br/,monihook-always-on,marketing/campaigns/monihook/source/monihook-linkedin-1200x627.svg,marketing/campaigns/monihook/exports/monihook-linkedin-1200x627.png
monihook,MoniHook,display-1200x628,Do sinal à ação em tempo real.,"Centralize indicadores, antecipe alertas e entregue insights para uma gestão mais ágil.",CONHEÇA O MONIHOOK,https://humanati.com.br/,monihook-always-on,marketing/campaigns/monihook/source/monihook-display-1200x628.svg,marketing/campaigns/monihook/exports/monihook-display-1200x628.png
vane,VANE,feed-1080x1080,Planeje cenários. Decida com confiança.,Transforme sinais em cenários claros e recomendações acionáveis para a liderança.,CONHEÇA A VANE,https://humanati.com.br/,vane-always-on,marketing/campaigns/vane/source/vane-feed-1080x1080.svg,marketing/campaigns/vane/exports/vane-feed-1080x1080.png
vane,VANE,story-1080x1920,Planeje cenários. Decida com confiança.,Transforme sinais em cenários claros e recomendações acionáveis para a liderança.,CONHEÇA A VANE,https://humanati.com.br/,vane-always-on,marketing/campaigns/vane/source/vane-story-1080x1920.svg,marketing/campaigns/vane/exports/vane-story-1080x1920.png
vane,VANE,linkedin-1200x627,Planeje cenários. Decida com confiança.,Transforme sinais em cenários claros e recomendações acionáveis para a liderança.,CONHEÇA A VANE,https://humanati.com.br/,vane-always-on,marketing/campaigns/vane/source/vane-linkedin-1200x627.svg,marketing/campaigns/vane/exports/vane-linkedin-1200x627.png
vane,VANE,display-1200x628,Planeje cenários. Decida com confiança.,Transforme sinais em cenários claros e recomendações acionáveis para a liderança.,CONHEÇA A VANE,https://humanati.com.br/,vane-always-on,marketing/campaigns/vane/source/vane-display-1200x628.svg,marketing/campaigns/vane/exports/vane-display-1200x628.png
wic,WIC,feed-1080x1080,Pessoas certas. Escalas inteligentes. Resultados reais.,"Conecte capacidade, jornadas e produtividade para decisões melhores sobre sua força de trabalho.",CONHEÇA O WIC,https://humanati.com.br/,wic-always-on,marketing/campaigns/wic/source/wic-feed-1080x1080.svg,marketing/campaigns/wic/exports/wic-feed-1080x1080.png
wic,WIC,story-1080x1920,Pessoas certas. Escalas inteligentes. Resultados reais.,"Conecte capacidade, jornadas e produtividade para decisões melhores sobre sua força de trabalho.",CONHEÇA O WIC,https://humanati.com.br/,wic-always-on,marketing/campaigns/wic/source/wic-story-1080x1920.svg,marketing/campaigns/wic/exports/wic-story-1080x1920.png
wic,WIC,linkedin-1200x627,Pessoas certas. Escalas inteligentes. Resultados reais.,"Conecte capacidade, jornadas e produtividade para decisões melhores sobre sua força de trabalho.",CONHEÇA O WIC,https://humanati.com.br/,wic-always-on,marketing/campaigns/wic/source/wic-linkedin-1200x627.svg,marketing/campaigns/wic/exports/wic-linkedin-1200x627.png
wic,WIC,display-1200x628,Pessoas certas. Escalas inteligentes. Resultados reais.,"Conecte capacidade, jornadas e produtividade para decisões melhores sobre sua força de trabalho.",CONHEÇA O WIC,https://humanati.com.br/,wic-always-on,marketing/campaigns/wic/source/wic-display-1200x628.svg,marketing/campaigns/wic/exports/wic-display-1200x628.png
